scenario_id,kernel,problem_size,block_size,trials,mean_power_w,min_trial_power_w,max_trial_power_w,mean_idle_power_w,estimated_j_per_launch,effective_gflops,effective_gbps
gemm_naive-2048-16,gemm_naive,2048,16,3,471.4225135123581,469.61430421121594,472.52740117412503,123.23574696744296,1.4961375486984363,5413.253940323342,15.859142403291044
gemm_tiled-2048-16,gemm_tiled,2048,16,3,408.00647743165064,406.91202429662917,409.8333303096777,126.45646803310967,0.8560607640633118,8188.0901776298115,23.988545442274837
memcpy_bandwidth-67108864-256,memcpy_bandwidth,67108864,256,3,415.5464388638645,411.8361572435919,418.87146616707366,114.22253570342376,0.09291113134517757,0.0,2401.1641432283914
reduction-67108864-256,reduction,67108864,256,3,405.6464912398403,404.6087575878594,406.4248519312691,125.99869062702868,0.12359693321502922,220.25230043343947,884.4506571073722
stencil_1d-67108864-256,stencil_1d,67108864,256,3,481.60732937839543,481.3222438426051,481.87872166993594,123.44045161015629,0.11639816007645722,1388.3437276039847,2221.3499641663752
vector_add-67108864-128,vector_add,67108864,128,3,438.95575488567897,438.06890134510877,440.3915763032256,123.76100977486797,0.1403735208779432,209.8532172336119,2518.238606803343
vector_add-67108864-256,vector_add,67108864,256,3,462.5707733271748,460.9564849449894,465.27256872855264,122.42095853438241,0.13338928610089296,232.72209078356917,2792.66508940283
vector_add-67108864-512,vector_add,67108864,512,3,450.4490375358532,449.36346578493385,451.588164826697,122.18706563697654,0.13357251624938477,226.31243853941248,2715.7492624729493
