trial,scenario_id,kernel,problem_size,block_size,sample_count,sample_span_s,coverage_fraction,first_sample_epoch_s,last_sample_epoch_s,mean_power_w,min_power_w,max_power_w,estimated_energy_j,max_sample_gap_s,max_query_duration_s,idle_mean_power_w,sustained_launches,sustained_duration_s,launches_per_second,estimated_j_per_launch,effective_gflops,effective_gbps,event_runtime_ms_median,verification_passed
1,memcpy_bandwidth-67108864-256,memcpy_bandwidth,67108864,256,47,10.695576429367065,0.9719170024177196,1790131260.620655,1790131271.3162315,411.8361572435919,409.32,413.36,4404.82509617567,0.24441242218017578,0.05549931526184082,96.56632288637503,67100,15.004620369,4471.955860918057,0.092093072930967,0.0,2400.8630214748223,0.225568,True
1,stencil_1d-67108864-256,stencil_1d,67108864,256,46,10.668113231658936,0.9685634345885125,1790131280.6548734,1790131291.3229866,481.87872166993594,478.33,483.86,5140.736766701937,0.2638533115386963,0.09160208702087402,124.55740865428038,62100,15.014367719,4136.038304258079,0.11650731599217508,1387.8241602962303,2220.5186564739683,0.243664,True
1,gemm_naive-2048-16,gemm_naive,2048,16,48,10.956581115722656,0.97491954435136,1790131300.4372501,1790131311.3938313,469.61430421121594,465.39,473.49,5145.367217193843,0.2364976406097412,0.04149127006530762,122.94793921022313,4800,15.238446972,314.99272916851675,1.4908734733365188,5411.533881026259,15.854103167069118,3.176768,True
1,gemm_tiled-2048-16,gemm_tiled,2048,16,48,10.990707874298096,0.9860685195969973,1790131320.524961,1790131331.5156689,406.91202429662917,405.39,407.41,4472.2511895835405,0.2476968765258789,0.06046605110168457,128.49928562773292,7200,15.145988832,475.3733863046334,0.8559840243893415,8166.852590268699,23.92632594805283,2.1056,True
1,vector_add-67108864-512,vector_add,67108864,512,47,10.863427639007568,0.9871643232071495,1790131340.7864532,1790131351.649881,449.36346578493385,447.45,451.42,4881.627494168282,0.23843598365783691,0.03936576843261719,120.77361735702968,50600,15.004681118,3372.28093033573,0.1332520851814671,226.30994232369397,2715.7193078843275,0.29872,True
1,reduction-67108864-256,reduction,67108864,256,47,10.852951765060425,0.9857120772944349,1790131360.6985528,1790131371.5515046,404.6087575878594,403.86,405.88,4391.199329822064,0.2522721290588379,0.0687863826751709,125.98599741709701,49100,15.010266182,3271.0945565295638,0.12369216193405462,219.51943645418825,881.5077501468387,0.30787200000000003,True
1,vector_add-67108864-128,vector_add,67108864,128,46,10.702487230300903,0.9728875516775232,1790131380.7175047,1790131391.419992,440.3915763032256,438.86,441.3,4713.285221717358,0.26404857635498047,0.09020400047302246,124.64427879313506,46900,15.000744738,3126.5114378749854,0.14085717741770012,209.81663087879684,2517.799570545562,0.32212799999999997,True
1,vector_add-67108864-256,vector_add,67108864,256,46,10.744100093841553,0.9767303810401866,1790131400.9317846,1790131411.6758847,465.27256872855264,462.07,466.82,4998.935049338343,0.2499234676361084,0.059320926666259766,121.7967343681897,52000,15.000068375,3466.650864516476,0.13421385276808032,232.64300140231862,2791.7160168278233,0.290624,True
2,memcpy_bandwidth-67108864-256,memcpy_bandwidth,67108864,256,47,10.696246147155762,0.9717585674692304,1790131420.8756652,1790131431.5719113,418.87146616707366,417.61,419.8,4480.352306143047,0.23618102073669434,0.03622603416442871,123.03646821285477,67100,15.007103201,4471.216003600801,0.09368177825221242,0.0,2400.465813602157,0.225696,True
2,gemm_tiled-2048-16,gemm_tiled,2048,16,48,10.962900876998901,0.9841198217950112,1790131440.6525087,1790131451.6154096,407.2740776886451,405.59,407.93,4464.905343471766,0.236114501953125,0.0364835262298584,123.68799149703763,7200,15.13980363,475.5675949279139,0.8563957721938126,8170.189069011062,23.936100788118345,2.105392,True
2,vector_add-67108864-512,vector_add,67108864,512,46,10.687165975570679,0.9711220818414072,1790131460.8895576,1790131471.5767236,450.3954819959288,449.6,451.2,4813.451270737646,0.25429677963256836,0.07178950309753418,123.28614816983433,50600,15.004967352,3372.216600874881,0.1335606621114074,226.30562524665467,2715.667502959856,0.298736,True
2,vector_add-67108864-128,vector_add,67108864,128,46,10.622044563293457,0.96351510895116,1790131481.0512,1790131491.6732445,438.06890134510877,436.84,438.84,4653.1873918807505,0.24045729637145996,0.045495033264160156,121.31327782451316,47000,15.024264442,3128.2729468347575,0.14003538335373028,209.93484374401297,2519.2181249281557,0.32352,True
2,stencil_1d-67108864-256,stencil_1d,67108864,256,46,10.678624153137207,0.9694070572833147,1790131501.09414,1790131511.7727642,481.3222438426051,480.25,482.35,5139.859338539839,0.2563629150390625,0.07365274429321289,124.16536795255486,62100,15.015625128,4135.691952258493,0.11638251818531986,1387.7079438500487,2220.3327101600776,0.243648,True
2,gemm_naive-2048-16,gemm_naive,2048,16,48,10.98313307762146,0.9774189786726158,1790131520.8334718,1790131531.8166049,472.1258351517332,465.92,474.67,5185.420876854658,0.2549254894256592,0.07728099822998047,123.29187618446883,4800,15.236873711,315.0252532797934,1.4986920262307006,5412.092641003317,15.855740159189407,3.177216,True
2,reduction-67108864-256,reduction,67108864,256,47,10.722636222839355,0.9723129254112646,1790131541.050322,1790131551.7729583,405.90586420039256,405.37,406.78,4352.380922538042,0.23428916931152344,0.03554582595825195,126.74962333504868,49400,15.027969627,3287.2038755818016,0.12348058701669404,220.60051453948816,885.8489543978103,0.30632000000000004,True
2,vector_add-67108864-256,vector_add,67108864,256,46,10.773804187774658,0.9777167834521353,1790131561.0601892,1790131571.8339934,460.9564849449894,459.43,461.9,4966.254907882213,0.2607417106628418,0.08560585975646973,123.6950294668754,52100,15.019351375,3468.8581882917697,0.13288421143903442,232.79113239335877,2793.493588720305,0.290496,True
3,memcpy_bandwidth-67108864-256,memcpy_bandwidth,67108864,256,47,10.832588911056519,0.9830965796416882,1790131581.0725164,1790131591.9051054,415.93169318092805,414.76,416.58,4505.617047308683,0.2422802448272705,0.04326343536376953,123.06481601104146,67200,15.01884608,4474.378367156154,0.09295854285235332,0.0,2402.163594608195,0.225376,True
3,reduction-67108864-256,reduction,67108864,256,47,10.728638172149658,0.9730760882121421,1790131600.9111242,1790131611.6397624,406.4248519312691,405.36,408.27,4360.385180540086,0.2342815399169922,0.03601431846618652,125.26045112894033,49400,15.025487923,3287.746810829472,0.12361805069433901,220.63695030664198,885.9952667774675,0.3064,True
3,vector_add-67108864-512,vector_add,67108864,512,46,10.614962816238403,0.9646548102803997,1790131620.9534793,1790131631.568442,451.588164826697,449.38,453.08,4793.591577888727,0.23790359497070312,0.03961944580078125,122.50143138406563,50600,15.003898422,3372.4568493349666,0.13390480145527975,226.32174804788878,2715.860976574665,0.298576,True
3,stencil_1d-67108864-256,stencil_1d,67108864,256,46,10.624605655670166,0.9640837955493133,1790131640.9472666,1790131651.5718722,481.62102262264534,480.47,482.67,5117.033440846207,0.24276375770568848,0.0513157844543457,121.59857822363362,62200,15.020417807,4141.029949980006,0.11630464605187672,1389.4990786656751,2223.1985258650802,0.243504,True
3,vector_add-67108864-256,vector_add,67108864,256,46,10.664140701293945,0.9674306456383467,1790131661.0837774,1790131671.7479181,461.48326630798226,460.37,462.38,4921.322483201026,0.24182677268981934,0.044164419174194336,121.77111176808212,52100,15.023158538,3467.979111597391,0.13306979409556416,232.73213855503013,2792.785662660361,0.290592,True
3,gemm_naive-2048-16,gemm_naive,2048,16,48,11.009135246276855,0.9807255927597043,1790131680.8262372,1790131691.8353724,472.52740117412503,469.37,474.5,5202.118067097664,0.25801610946655273,0.08276987075805664,123.46742550763695,4800,15.225500755,315.2605669421872,1.4988471465280895,5416.135298940451,15.867583883614603,3.176896,True
3,gemm_tiled-2048-16,gemm_tiled,2048,16,47,10.755290508270264,0.974666827559259,1790131700.902833,1790131711.6581235,409.8333303096777,407.49,410.43,4407.8765274524685,0.2409038543701172,0.04999685287475586,127.18212697455846,7200,15.034838586,478.8877485325602,0.8558024956067812,8227.228873609673,24.103209590653336,2.0903359999999997,True
3,vector_add-67108864-128,vector_add,67108864,128,47,10.83155345916748,0.9845659583346129,1790131721.0525875,1790131731.884141,438.4067870087026,436.9,439.07,4748.626550346614,0.23763656616210938,0.03924298286437988,125.32547270695571,46900,15.001349163,3126.385466426997,0.14022800186239917,209.80817707802592,2517.698124936311,0.321808,True
