trial,scenario_id,kernel,problem_size,block_size,sample_count,sample_span_s,coverage_fraction,first_sample_epoch_s,last_sample_epoch_s,mean_power_w,min_power_w,max_power_w,estimated_energy_j,max_sample_gap_s,max_query_duration_s,idle_mean_power_w,sustained_launches,sustained_duration_s,launches_per_second,estimated_j_per_launch,effective_gflops,effective_gbps,event_runtime_ms_median,verification_passed
1,vector_add-67108864-512,vector_add,67108864,512,47,10.78194808959961,0.9779198478742217,1790134739.083335,1790134749.865283,463.42878540694375,459.89,466.44,4996.665107483865,0.23888516426086426,0.042177438735961914,96.90152713489914,50700,15.025390965,3374.2882376971147,0.13734119694624095,226.44465044041533,2717.3358052849844,0.298432,True
2,vector_add-67108864-512,vector_add,67108864,512,47,10.832927465438843,0.984612989241906,1790134759.546759,1790134770.3796864,466.92278322695904,464.8,468.24,5058.140642658472,0.26834869384765625,0.10218262672424316,129.42314708783434,50600,15.002219534,3372.8342586457716,0.13843632607504214,226.34707555799991,2716.164906695999,0.29856,True
3,vector_add-67108864-512,vector_add,67108864,512,47,10.952427387237549,0.9950827916292608,1790134779.9768054,1790134790.9292328,466.05657970025135,463.92,467.05,5104.4508475112925,0.3271026611328125,0.21857118606567383,122.53713175755139,50600,15.006549226,3371.8611279621573,0.13821938745796472,226.28176986329902,2715.3812383595878,0.29864,True
