kernel,problem_size,block_size,trials,median_mean_ms,min_mean_ms,max_mean_ms,spread_pct,median_bandwidth_GBps,median_GFLOPs,max_within_run_cv
gemm_naive,128,16,3,0.00881344,0.00878464,0.008832,0.5391228325805075,22.307748166436713,475.8986275506499,0.039431211189602286
gemm_naive,256,16,3,0.01361152,0.0136032,0.01367424,0.5222300635144839,57.77694188452135,2465.1495204062444,0.05264790340626401
gemm_naive,512,16,3,0.06032384,0.06028224,0.0603584,0.1263390345149773,52.14734340519437,4449.906637243253,0.006707810689824923
gemm_naive,1024,16,3,0.417904,0.41790272,0.418256,0.08453642034202957,30.109575404877678,5138.700869099124,0.0033093633172832817
gemm_naive,2048,16,3,3.17654208,3.15960832,3.17700352,0.5505492528896871,15.844791830996302,5408.355611646738,0.004682162121448188
gemm_tiled,128,16,3,0.00769024,0.00762816,0.00775488,1.661213189025923,25.565912117177096,545.4061251664447,0.07804355386049644
gemm_tiled,256,16,3,0.011613440000000001,0.01156608,0.01164544,0.6861443116423338,67.71740328447041,2889.275873470737,0.02511150134601271
gemm_tiled,512,16,3,0.04205568,0.04189376,0.04212352,0.5484348981805276,74.7991234477721,6382.858534209887,0.007544504470596042
gemm_tiled,1024,16,3,0.27900224,0.27689216,0.27903488,0.7738463956509234,45.09968092012451,7697.012210367917,0.0014760224795091698
gemm_tiled,2048,16,3,2.10584832,2.09024192,2.10597056,0.7524794067856,23.900889499961707,8158.170282653597,0.00036395613128102573
memcpy_bandwidth,1048576,64,3,0.0147712,0.01476416,0.01481664,0.35545537301140406,567.9029462738301,0.0,0.020455995217659347
memcpy_bandwidth,1048576,128,3,0.00987968,0.00985792,0.00991744,0.6037784847107819,849.0768931787266,0.0,0.028212983257120443
memcpy_bandwidth,1048576,256,3,0.00751168,0.00739072,0.00751616,1.6972635954277893,1116.7419272386471,0.0,0.09495122358119125
memcpy_bandwidth,1048576,512,3,0.00670912,0.00666176,0.00687296,3.1703333653569032,1250.3291042640467,0.0,0.20342147329160598
memcpy_bandwidth,4194304,64,3,0.04441216,0.04441024,0.04447104,0.13690536236690143,755.5235322938584,0.0,0.006043194214243397
memcpy_bandwidth,4194304,128,3,0.02472768,0.02470272,0.02482944,0.5129799471475183,1356.9583559800192,0.0,0.02431120754399146
memcpy_bandwidth,4194304,256,3,0.0150752,0.01507072,0.0151136,0.28452522507218525,2225.803438760348,0.0,0.023222866696370456
memcpy_bandwidth,4194304,512,3,0.01373568,0.01363584,0.01379328,1.1546043368065417,2442.8664616531546,0.0,0.01777745324256255
memcpy_bandwidth,16777216,64,3,0.16268672,0.16264384,0.16283968,0.12041033954928171,825.007277791328,0.0,0.002635554508721269
memcpy_bandwidth,16777216,128,3,0.08415871999999999,0.0841408,0.08434496,0.24264090667072136,1594.8166512038208,0.0,0.00772075954214514
memcpy_bandwidth,16777216,256,3,0.06047616,0.06046848,0.0605184,0.08255540737918121,2219.349376680001,0.0,0.009725079137494595
memcpy_bandwidth,16777216,512,3,0.06479808,0.06478016,0.06481344,0.051373753939465416,2071.322607089593,0.0,0.010094269998789953
memcpy_bandwidth,67108864,64,3,0.635264,0.63519936,0.63542912,0.03617132107940346,845.1146483981462,0.0,0.0005659458919356425
memcpy_bandwidth,67108864,128,3,0.32096512,0.32090368,0.32099008,0.026923966717973258,1672.6768067508397,0.0,0.0011578666554490898
memcpy_bandwidth,67108864,256,3,0.22575424,0.22541568,0.22579072,0.1663770683565602,2378.1210576598696,0.0,0.0021482241224615567
memcpy_bandwidth,67108864,512,3,0.24323456,0.24274368,0.24324672,0.20723093594032793,2207.214764217717,0.0,0.002596805570485245
reduction,1048576,64,3,0.01550784,0.01546688,0.01551872,0.33516779078908154,274.6894474020882,67.61579949238578,0.04439242099966208
reduction,1048576,128,3,0.01056576,0.01046592,0.0105792,1.0823702073014196,400.07268762493186,99.2427425949482,0.02449904020727959
reduction,1048576,256,3,0.00951616,0.009472,0.00955712,0.8986486486486589,442.47763803887284,110.18887870737777,0.06534093165229109
reduction,1048576,512,3,0.01009024,0.01006656,0.0102112,1.436836416809717,416.4911835595586,103.91972837117848,0.07741788859682926
reduction,4194304,64,3,0.04498048,0.044892800000000004,0.04501248,0.2665906336873469,378.8167667397057,93.24718188867703,0.006380225183811702
reduction,4194304,128,3,0.0253664,0.02536128,0.02543104,0.2750649809473371,666.5623817333164,165.3487684496026,0.012291160286169816
reduction,4194304,256,3,0.02195584,0.0219392,0.02199616,0.25962660443408225,767.1194543228589,191.0335928846266,0.012338556582588455
reduction,4194304,512,3,0.02407744,0.02405184,0.02411264,0.2527873127378122,698.1632598814493,174.20053793094283,0.025155186368777362
reduction,16777216,64,3,0.16319552,0.16317568,0.16331968,0.08824844486630123,417.6428372543559,102.80438458114536,0.0017898774809675712
reduction,16777216,128,3,0.08465856000000001,0.08456704,0.08474752,0.21341647999033597,798.8932483614178,198.17505754881725,0.0031992338113111065
reduction,16777216,256,3,0.08128256,0.08127552,0.08137791999999999,0.12599119636513834,828.8494850555887,206.40608514298765,0.0037243816648571825
reduction,16777216,512,3,0.09199296,0.09189696,0.09209536,0.21589397516523778,730.924801202179,182.37498825997122,0.007583833787687394
reduction,67108864,64,3,0.63631232,0.63621888,0.63635456,0.021325993972376445,428.4527447150481,105.46528943522577,0.00039081375388279284
reduction,67108864,128,3,0.32144256,0.3214336,0.32151616,0.025684931506853026,841.6203753479316,208.7740434869608,0.0014250561992955578
reduction,67108864,256,3,0.30790528,0.3077856,0.30796992,0.05988584261251706,875.2173135842295,217.95294643859307,0.0010109197230627192
reduction,67108864,512,3,0.35013952,0.35007168,0.35014144,0.019927347450687805,768.1502048097856,191.66320614136905,0.0011832276942465361
stencil_1d,1048576,64,3,0.01488448,0.01482048,0.01492992,0.7384376214535582,563.5808573762738,352.2380358601711,0.040868092495379
stencil_1d,1048576,128,3,0.00992832,0.00988928,0.0099328,0.4400724825265323,844.9171662476634,528.0732289047896,0.02638074039456594
stencil_1d,1048576,256,3,0.00752128,0.00749504,0.00756032,0.8709760054649518,1115.3165418652145,697.072838665759,0.036809741191436283
stencil_1d,1048576,512,3,0.00703168,0.00701824,0.00704,0.31004924311508475,1192.97351415309,745.6084463456813,0.03926975137292614
stencil_1d,4194304,64,3,0.0444736,0.04444352,0.04449408,0.11376236625721958,754.4797812634912,471.549863289682,0.012256058875815408
stencil_1d,4194304,128,3,0.02491456,0.0247456,0.02504704,1.218155954998057,1346.7800354491512,841.7375221557195,0.0386823011057931
stencil_1d,4194304,256,3,0.01545216,0.0154304,0.01558976,1.0327664869348663,2171.5043074884034,1357.190192180252,0.01830146119693919
stencil_1d,4194304,512,3,0.01564352,0.01550336,0.01565824,0.9990092470277379,2144.9412919854353,1340.588307490897,0.019517142025850635
stencil_1d,16777216,64,3,0.16281344,0.16277248,0.16288768,0.07077363446204021,824.3651629742607,515.2282268589129,0.0018068538554343598
stencil_1d,16777216,128,3,0.084416,0.08436032,0.08445056,0.10696972225803236,1589.9560272934043,993.7225170583775,0.004306132470405742
stencil_1d,16777216,256,3,0.065088,0.06496128,0.065264,0.4660006699375385,2062.0963618485744,1288.810226155359,0.007132030602080085
stencil_1d,16777216,512,3,0.0691776,0.06898304,0.06921792,0.3404894884307952,1940.190581922472,1212.6191137015448,0.006862380205625939
stencil_1d,67108864,64,3,0.635424,0.63524096,0.63544896,0.03274348052115794,844.9018482147354,528.0636551342096,0.0003507518391892901
stencil_1d,67108864,128,3,0.32133504,0.32128576,0.3214688,0.05697109015974089,1670.7512258856052,1044.2195161785032,0.0023544625575264437
stencil_1d,67108864,256,3,0.24377088,0.24374976,0.24389888,0.061177496133746345,2202.3586738498057,1376.4741711561283,0.0018414524257118696
stencil_1d,67108864,512,3,0.259904,0.25986304,0.26000448,0.05442867134932694,2065.65082491997,1291.0317655749814,0.0033838194319882717
vector_add,1048576,64,3,0.0148256,0.01479872,0.01483776,0.2638065994896799,848.7286855169438,70.72739045974531,0.017848014905291178
vector_add,1048576,128,3,0.00990208,0.00985216,0.00991488,0.63661166688318,1270.7342295760084,105.89451913133404,0.028710792005869498
vector_add,1048576,256,3,0.00750848,0.00743424,0.00755264,1.5926308539945033,1675.8267984998297,139.65223320831913,0.1051867968235204
vector_add,1048576,512,3,0.00686464,0.0068,0.00688896,1.3082352941176545,1833.0039157188141,152.7503263099012,0.048786309040501304
vector_add,4194304,64,3,0.04461056,0.044483840000000004,0.04461696,0.2992547405979096,1128.2451509239067,94.02042924365891,0.006323256498588586
vector_add,4194304,128,3,0.02513024,0.02512192,0.02513728,0.06114182355489994,2002.831966586869,166.9026638822391,0.012778911929861773
vector_add,4194304,256,3,0.0232032,0.0231328,0.02320576,0.3153963203762711,2169.1683905668183,180.76403254723485,0.02456838022613012
vector_add,4194304,512,3,0.02379392,0.02377984,0.0238112,0.13187641296157349,2115.315509172091,176.2762924310076,0.026712634029186572
vector_add,16777216,64,3,0.16265536,0.16264576,0.1626592,0.008263357126558901,1237.7495091462097,103.14579242885081,0.0016735960132520534
vector_add,16777216,128,3,0.08449728,0.08440448,0.08457728,0.20472846938930367,2382.6399145629307,198.55332621357755,0.004590371228682112
vector_add,16777216,256,3,0.07699136,0.07691776,0.07704448,0.16474738733940342,2614.9244798377376,217.9103733198115,0.008575100198521854
vector_add,16777216,512,3,0.07913408,0.0791008,0.07915136,0.0639184433027351,2544.119954386277,212.00999619885644,0.006812866398307154
vector_add,67108864,64,3,0.63510528,0.634912,0.63523968,0.05161030190010685,1267.988778175486,105.66573151462384,0.00037581476502811305
vector_add,67108864,128,3,0.3218336,0.32177152,0.32192576,0.04793463386691954,2502.244538792718,208.5203782327265,0.001483811525046101
vector_add,67108864,256,3,0.2906336,0.29044288,0.29070848,0.09144655224462284,2770.864648822435,230.9053874018696,0.002317231964145997
vector_add,67108864,512,3,0.2985472,0.29843648,0.29865344,0.07269888721377349,2697.417252615332,224.7847710512777,0.0012502504550517036
