trial,scenario_id,kernel,problem_size,block_size,sample_count,sample_span_s,coverage_fraction,first_sample_epoch_s,last_sample_epoch_s,mean_power_w,min_power_w,max_power_w,estimated_energy_j,max_sample_gap_s,max_query_duration_s,idle_mean_power_w,sustained_launches,sustained_duration_s,launches_per_second,estimated_j_per_launch,effective_gflops,effective_gbps,event_runtime_ms_median,verification_passed
1,vector_add-67108864-128,vector_add,67108864,128,47,10.881969451904297,0.9891748218388016,1790134196.8272767,1790134207.7092462,451.30536587593946,448.08,453.14,4911.091204942465,0.2601315975189209,0.08601498603820801,119.78495169929155,46900,15.001058782,3126.4459850178064,0.1443509237129421,209.812238411906,2517.746860942872,0.32184,True
2,vector_add-67108864-128,vector_add,67108864,128,48,10.868069648742676,0.985741836558364,1790134217.1927733,1790134228.060843,453.56904084620663,451.42,454.7,4929.419926429985,0.2346491813659668,0.03466463088989258,121.28061940634822,47000,15.025270772,3128.063428153706,0.14499995005341665,209.92078318334083,2519.04939820009,0.321808,True
3,vector_add-67108864-128,vector_add,67108864,128,48,11.001173496246338,0.9979114742872967,1790134237.613999,1790134248.6151724,454.3050404077469,452.3,455.22,4997.888569744827,0.2418513298034668,0.052077531814575195,127.18803193417959,47000,15.024198532,3128.2866703268614,0.14522487491860153,209.93576471197818,2519.2291765437385,0.321728,True
