trial,scenario_id,kernel,problem_size,block_size,sample_count,sample_span_s,coverage_fraction,first_sample_epoch_s,last_sample_epoch_s,mean_power_w,min_power_w,max_power_w,estimated_energy_j,max_sample_gap_s,max_query_duration_s,idle_mean_power_w,sustained_launches,sustained_duration_s,launches_per_second,estimated_j_per_launch,effective_gflops,effective_gbps,event_runtime_ms_median,verification_passed
1,vector_add-67108864-512,vector_add,67108864,512,47,10.782743453979492,0.9800745787667524,1790134322.4259772,1790134333.2087207,464.5412606463958,463.51,465.47,5009.029237338305,0.23702478408813477,0.03868532180786133,107.39911238625383,50600,15.001962931,3372.8919497221495,0.13772788087227744,226.35094714059858,2716.2113656871825,0.298688,True
2,vector_add-67108864-512,vector_add,67108864,512,47,10.8351309299469,0.9847160013666382,1790134342.8467653,1790134353.6818962,464.2942425281324,463.52,464.9,5030.688907812834,0.25523877143859863,0.07683444023132324,119.88849574049928,50600,15.003306346,3372.589936716873,0.13766697144928047,226.33067939090125,2715.968152690815,0.29856,True
3,vector_add-67108864-512,vector_add,67108864,512,47,10.779730081558228,0.9792336296206713,1790134363.2551003,1790134374.0348303,465.4086597367621,464.43,466.45,5016.979729582072,0.2427058219909668,0.05278801918029785,121.22365128228839,50600,15.008334209,3371.46010312436,0.13804365037731398,226.25485754199866,2715.0582905039837,0.298736,True
