kernel,problem_size,block_size,baseline_ms,candidate_ms,speedup,change_pct,status,baseline_cv,candidate_cv,noisy,protocol_changed
stencil_1d,1048576,512,0.00696,0.006944,1.002304147465438,-0.22988505747126853,within_threshold,0.03926975137292614,0.03925967796670761,False,False
stencil_1d,4194304,64,0.044432,0.044368000000000005,1.0014424810674358,-0.14404033129274962,within_threshold,0.004880076257825054,0.005549274582837861,False,False
stencil_1d,4194304,128,0.024832,0.024688,1.0058327932598832,-0.5798969072164928,within_threshold,0.0386823011057931,0.00810987131528522,False,False
stencil_1d,4194304,256,0.01552,0.015376,1.0093652445369408,-0.9278350515463885,within_threshold,0.016593017450649304,0.01830146119693919,False,False
stencil_1d,4194304,512,0.01568,0.015424,1.016597510373444,-1.6326530612244872,within_threshold,0.014090475817754534,0.019517142025850635,False,False
stencil_1d,16777216,64,0.16272,0.162864,0.9991158267020336,0.08849557522123686,within_threshold,0.0015428564136011607,0.0015396610795749056,False,False
stencil_1d,16777216,128,0.084352,0.08443200000000001,0.9990524919461814,0.09484066767830868,within_threshold,0.004306132470405742,0.0032240185465259724,False,False
stencil_1d,16777216,256,0.065184,0.06504,1.0022140221402214,-0.22091310751105597,within_threshold,0.007132030602080085,0.006937083301843731,False,False
stencil_1d,16777216,512,0.069312,0.069072,1.003474635163308,-0.3462603878116366,within_threshold,0.006257000554602594,0.006713988456163258,False,False
stencil_1d,67108864,64,0.635216,0.635424,0.9996726595155361,0.0327447671343295,within_threshold,0.0003507518391892901,0.00030232826750876057,False,False
stencil_1d,67108864,128,0.321312,0.321312,1.0,0.0,within_threshold,0.0007175727304168667,0.0023544625575264437,False,False
stencil_1d,67108864,256,0.24359999999999998,0.243712,0.9995404411764705,0.04597701149426925,within_threshold,0.0018414524257118696,0.0018171081494941408,False,False
stencil_1d,67108864,512,0.259968,0.25995199999999996,1.000061549824583,-0.006154603643526713,within_threshold,0.0017305594514468508,0.0033838194319882717,False,False
vector_add,1048576,64,0.01472,0.014784,0.9956709956709957,0.43478260869564966,within_threshold,0.017848014905291178,0.015967673544245695,False,False
vector_add,1048576,128,0.009888,0.009824,1.006514657980456,-0.6472491909385147,within_threshold,0.028710792005869498,0.025830199219802594,False,False
vector_add,1048576,256,0.007392,0.00736,1.0043478260869565,-0.43290043290042934,within_threshold,0.032077975776413865,0.1051867968235204,True,False
vector_add,1048576,512,0.006752,0.0068319999999999995,0.9882903981264638,1.1848341232227444,within_threshold,0.03391175195142867,0.035969377491419575,False,False
vector_add,4194304,64,0.044544,0.044576,0.9992821249102657,0.07183908045975684,within_threshold,0.005264658969480414,0.004683691766198882,False,False
vector_add,4194304,128,0.025071999999999997,0.025024,1.0019181585677748,-0.19144862795148487,within_threshold,0.009133726076323127,0.012778911929861773,False,False
vector_add,4194304,256,0.023072,0.02304,1.0013888888888887,-0.1386962552010984,within_threshold,0.016229730284073842,0.02456838022613012,False,False
vector_add,4194304,512,0.023584,0.023632,0.997968855788761,0.2035278154681075,within_threshold,0.026712634029186572,0.016626911622134297,False,False
vector_add,16777216,64,0.162624,0.162592,1.0001968116512499,-0.01967729240456295,within_threshold,0.0013842014600751098,0.0014756383012909167,False,False
vector_add,16777216,128,0.084544,0.084576,0.9996216420734014,0.03785011355035284,within_threshold,0.0029032148909190762,0.004590371228682112,False,False
vector_add,16777216,256,0.077184,0.077072,1.001453186630683,-0.14510779436153198,within_threshold,0.008575100198521854,0.007282495139308489,False,False
vector_add,16777216,512,0.079264,0.079296,0.9995964487489911,0.040371417036744184,within_threshold,0.005860765971040682,0.006812866398307154,False,False
vector_add,67108864,64,0.635184,0.635072,1.0001763579562633,-0.017632685961865846,within_threshold,0.00037039065492730505,0.00034394559962580996,False,False
vector_add,67108864,128,0.321824,0.321696,1.0003978911767633,-0.03977329223426862,within_threshold,0.001483811525046101,0.0007925465873499689,False,False
vector_add,67108864,256,0.29072,0.290464,1.0008813484631485,-0.08805723720417546,within_threshold,0.0016264528638970284,0.002317231964145997,False,False
vector_add,67108864,512,0.298576,0.298496,1.0002680102915953,-0.026793848132478093,within_threshold,0.0012294161343628695,0.0011072838153898589,False,False
