run_id,kernel,problem_size,block_size,sample_index,runtime_ms
run_20260428T154333Z,vector_add,4194304,256,5,0.038912
run_20260428T154333Z,vector_add,4194304,256,6,0.037888
run_20260428T154333Z,vector_add,4194304,256,7,0.036864
run_20260428T154333Z,vector_add,4194304,256,8,0.038912
run_20260428T154333Z,vector_add,4194304,256,9,0.036864
run_20260428T154333Z,vector_add,4194304,256,10,0.034816
run_20260428T154333Z,vector_add,4194304,256,11,0.037888
run_20260428T154333Z,vector_add,4194304,256,12,0.037888
run_20260428T154333Z,vector_add,4194304,256,13,0.036864
run_20260428T154333Z,vector_add,4194304,256,14,0.036864
run_20260428T154333Z,vector_add,4194304,256,15,0.036864
run_20260428T154333Z,vector_add,4194304,256,16,0.036864
run_20260428T154333Z,vector_add,4194304,256,17,0.036864
run_20260428T154333Z,vector_add,4194304,256,18,0.036864
run_20260428T154333Z,vector_add,4194304,256,19,0.038912
run_20260428T154333Z,vector_add,4194304,256,20,0.038912
run_20260428T154333Z,vector_add,4194304,256,21,0.037888
run_20260428T154333Z,vector_add,4194304,256,22,0.039936
run_20260428T154333Z,vector_add,4194304,256,23,0.037888
run_20260428T154333Z,vector_add,4194304,256,24,0.036864
run_20260428T154333Z,vector_add,4194304,256,25,0.039936
run_20260428T154333Z,vector_add,4194304,256,26,0.038912
run_20260428T154333Z,vector_add,4194304,256,27,0.037888
run_20260428T154333Z,vector_add,4194304,256,28,0.038912
run_20260428T154333Z,vector_add,4194304,256,29,0.03584
run_20260428T154333Z,reduction,1048576,128,0,0.01536
run_20260428T154333Z,reduction,1048576,128,1,0.013312
run_20260428T154333Z,reduction,1048576,128,2,0.014336
run_20260428T154333Z,reduction,1048576,128,3,0.018432
run_20260428T154333Z,reduction,1048576,128,4,0.013312
run_20260428T154333Z,reduction,1048576,128,5,0.013312
run_20260428T154333Z,reduction,1048576,128,6,0.013312
run_20260428T154333Z,reduction,1048576,128,7,0.013312
run_20260428T154333Z,reduction,1048576,128,8,0.014336
run_20260428T154333Z,reduction,1048576,128,9,0.014336
run_20260428T154333Z,reduction,1048576,128,10,0.013312
run_20260428T154333Z,reduction,1048576,128,11,0.013312
run_20260428T154333Z,reduction,1048576,128,12,0.013312
run_20260428T154333Z,reduction,1048576,128,13,0.013312
run_20260428T154333Z,reduction,1048576,128,14,0.013312
run_20260428T154333Z,reduction,1048576,128,15,0.014336
run_20260428T154333Z,reduction,1048576,128,16,0.014336
run_20260428T154333Z,reduction,1048576,128,17,0.013312
run_20260428T154333Z,reduction,1048576,128,18,0.014336
run_20260428T154333Z,reduction,1048576,128,19,0.013312
run_20260428T154333Z,reduction,1048576,128,20,0.012288
run_20260428T154333Z,reduction,1048576,128,21,0.014336
run_20260428T154333Z,reduction,1048576,128,22,0.013312
run_20260428T154333Z,reduction,1048576,128,23,0.013312
run_20260428T154333Z,reduction,1048576,128,24,0.014336
run_20260428T154333Z,reduction,1048576,128,25,0.013312
run_20260428T154333Z,reduction,1048576,128,26,0.013312
run_20260428T154333Z,reduction,1048576,128,27,0.013312
run_20260428T154333Z,reduction,1048576,128,28,0.014336
run_20260428T154333Z,reduction,1048576,128,29,0.013312
run_20260428T154333Z,reduction,1048576,256,0,0.014336
run_20260428T154333Z,reduction,1048576,256,1,0.013312
run_20260428T154333Z,reduction,1048576,256,2,0.013312
run_20260428T154333Z,reduction,1048576,256,3,0.013312
run_20260428T154333Z,reduction,1048576,256,4,0.013312
run_20260428T154333Z,reduction,1048576,256,5,0.013312
run_20260428T154333Z,reduction,1048576,256,6,0.012288
run_20260428T154333Z,reduction,1048576,256,7,0.014336
run_20260428T154333Z,reduction,1048576,256,8,0.014336
run_20260428T154333Z,reduction,1048576,256,9,0.013312
run_20260428T154333Z,reduction,1048576,256,10,0.013312
run_20260428T154333Z,reduction,1048576,256,11,0.014336
run_20260428T154333Z,reduction,1048576,256,12,0.014336
run_20260428T154333Z,reduction,1048576,256,13,0.013312
run_20260428T154333Z,reduction,1048576,256,14,0.013312
run_20260428T154333Z,reduction,1048576,256,15,0.014336
run_20260428T154333Z,reduction,1048576,256,16,0.013312
run_20260428T154333Z,reduction,1048576,256,17,0.013312
run_20260428T154333Z,reduction,1048576,256,18,0.013312
run_20260428T154333Z,reduction,1048576,256,19,0.013312
run_20260428T154333Z,reduction,1048576,256,20,0.013312
