trial,scenario_id,kernel,problem_size,block_size,sample_count,sample_span_s,coverage_fraction,first_sample_epoch_s,last_sample_epoch_s,mean_power_w,min_power_w,max_power_w,estimated_energy_j,max_sample_gap_s,max_query_duration_s,idle_mean_power_w,sustained_launches,sustained_duration_s,launches_per_second,estimated_j_per_launch,effective_gflops,effective_gbps,event_runtime_ms_median,verification_passed
1,vector_add-67108864-256,vector_add,67108864,256,47,10.66295075416565,0.9673295583889544,1790134384.1220198,1790134394.7849705,474.882673506887,473.21,476.18,5063.6505616104605,0.23256683349609375,0.033255815505981445,120.14075534523934,52100,15.023080982,3467.9970148882207,0.13693283802385084,232.7333400245396,2792.8000802944753,0.290624,True
2,vector_add-67108864-256,vector_add,67108864,256,47,10.812221765518188,0.9829076918128595,1790134404.3868256,1790134415.1990473,474.8740570830111,473.81,475.73,5134.4436158728595,0.23657631874084473,0.038529157638549805,122.81640940780754,52000,15.000241998,3466.6107391422897,0.13698511105417757,232.6403086340394,2791.6837036084726,0.290688,True
3,vector_add-67108864-256,vector_add,67108864,256,47,10.835976123809814,0.9837528983228873,1790134424.7930746,1790134435.6290507,479.2654289057597,475.84,480.8,5193.308744590282,0.2537226676940918,0.07068824768066406,125.159796776666,52100,15.014937854,3469.877831437077,0.13812170116296807,232.85955948652574,2794.3147138383088,0.290512,True
